,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Prostate Cancer Deaths,Housing | Vacant Housing Units,Mental Health | Teen Mental Distress,"Racial Segregation Indices | Racial Segregation, White and Asian",Sexually Transmitted Disease | New Chlamydia Cases
1664,22,0,0,3,1,0,0,0,2010,25.36478076,8.28701028,27.566666666666666,39.49015837,1740.0
1665,22,0,1,3,1,0,0,0,2010,22.510031085999998,9.2502630396,28.455633813786847,37.813448359999995,379.37999999999994
1666,22,0,2,3,1,0,0,0,2010,22.510031085999998,9.2502630396,18.547872190891827,37.813448359999995,379.37999999999994
1667,22,4,0,3,1,0,0,0,2010,12.004821736249998,9.2502630396,22.30802481549226,37.813448359999995,379.37999999999994
1668,22,4,1,3,1,0,0,0,2010,11.691703920580506,9.2502630396,23.26690581688951,37.813448359999995,379.38
1669,22,4,2,3,1,0,0,0,2010,11.691703920580506,9.2502630396,19.620112103535988,37.813448359999995,379.38
1670,22,2,0,3,1,0,0,0,2010,53.22180973,9.2502630396,25.443757125213796,37.813448359999995,379.37999999999994
1671,22,2,1,3,1,0,0,0,2010,58.845341162,9.2502630396,25.54741935355019,37.813448359999995,379.38
1672,22,2,2,3,1,0,0,0,2010,58.845341162,9.2502630396,19.747565642916605,37.813448359999995,379.38
1673,22,3,0,3,1,0,0,0,2010,14.52893662,9.2502630396,26.691601205597955,37.813448359999995,379.37999999999994
1674,22,3,1,3,1,0,0,0,2010,14.561902990334978,9.2502630396,25.77360222459562,37.813448359999995,379.38
1675,22,3,2,3,1,0,0,0,2010,14.561902990334978,9.2502630396,22.338269760974963,37.813448359999995,379.38
1676,22,5,0,3,1,0,0,0,2010,22.510031085999998,9.2502630396,28.7399549514957,37.813448359999995,379.37999999999994
1677,22,1,0,3,1,0,0,0,2010,24.80806884,9.2502630396,20.39182608965926,37.813448359999995,379.37999999999994
1678,22,1,1,3,1,0,0,0,2010,23.715927014000002,9.2502630396,24.49573992757946,37.813448359999995,379.38
1679,22,1,2,3,1,0,0,0,2010,23.715927014000002,9.2502630396,18.11917371767443,37.813448359999995,379.38
1680,22,0,0,3,1,0,0,0,2011,26.10056981,8.28701028,27.566666666666666,39.49015837,893.3
1681,22,0,1,3,1,0,0,0,2011,22.606280396,9.250263039600002,25.2,37.81344836,410.82
1682,22,0,2,3,1,0,0,0,2011,22.606280396,9.250263039600002,18.1,37.81344836,410.82
1683,22,4,0,3,1,0,0,0,2011,11.0840670595,9.250263039600002,21.0,37.81344836,410.82
1684,22,4,1,3,1,0,0,0,2011,12.012008223092613,7.268445379,23.212808021237546,42.508883294,504.69999999999993
1685,22,4,2,3,1,0,0,0,2011,12.012008223092613,7.268445379,19.671947169817233,42.508883294,504.69999999999993
1686,22,2,0,3,1,0,0,0,2011,54.67339977,9.250263039600002,24.6,37.81344836,410.82
1687,22,2,1,3,1,0,0,0,2011,55.908740456,7.268445379,25.536045347035788,42.508883294,504.69999999999993
